temp_min,temp_max,wind_max,will_rain,thermo_profile,warmth_shift,required_warmth
-6,-3,8.848903708045908,0,0,0.0,8.0
6,16,9.724121126328388,1,1,0.0,3.0
-16,-13,10.875016005136224,1,-1,0.0,16.0
5,10,14.448729623138634,0,0,0.0,6.0
-4,3,12.208139438098938,0,-1,0.0,10.0
5,11,8.860630583337999,0,0,0.0,3.0
2,4,5.265134571848792,0,-1,0.0,6.0
23,26,6.733163298140598,0,1,0.0,0.0
-14,-8,6.435693996286058,1,-1,0.0,15.0
17,26,1.9622820781757377,1,-1,0.0,3.0
2,5,14.147448527470122,0,0,0.0,6.0
-16,-10,3.4128549622128834,0,-1,0.0,14.0
9,16,5.845377648366598,0,-1,0.0,4.0
1,5,2.769846923312013,1,0,0.0,6.0
29,31,1.2450785328231158,0,0,0.0,1.0
14,18,8.070978855142497,0,0,0.0,3.0
-22,-19,9.173279553092806,0,0,0.0,18.0
-16,-11,8.35736944482682,0,-1,0.0,14.0
-16,-12,5.5812344970067125,0,0,0.0,13.0
25,28,0.07314048272365092,0,0,0.0,1.0
-10,-7,12.740745901318366,0,-1,0.0,15.0
3,12,13.74660480891957,0,0,0.0,4.0
-14,-8,4.704556661516847,0,0,0.0,13.0
-9,-7,9.192639454812587,1,0,0.0,14.0
15,23,10.770857126920145,0,-1,0.0,3.0
12,22,10.525650101947262,0,0,0.0,2.0
-2,1,13.301751891950618,1,-1,0.0,11.0
-5,-2,1.7176454974116095,0,0,0.0,8.0
34,34,2.1017462595580754,0,1,0.0,0.0
3,9,11.129319310476015,0,1,0.0,5.0
-27,-20,5.333675279583597,0,-1,0.0,19.0
15,21,11.017110387404983,1,0,0.0,3.0
-9,-8,7.281260925583818,1,1,0.0,13.0
32,34,0.13309281135951812,1,1,0.0,1.0
-8,-2,12.546783883625846,1,1,0.0,9.0
-1,9,9.229449457448172,0,1,0.0,4.0
-10,-8,8.194417937664145,1,1,0.0,13.0
11,19,0.09352636814153992,1,1,0.0,1.0
6,15,11.69645872801848,0,1,0.0,3.0
-25,-19,11.776369319939867,0,1,0.0,18.0
-4,-2,14.875090582103873,1,-1,0.0,11.0
2,4,12.023153735769059,1,0,0.0,7.0
13,14,7.434688786716384,1,1,0.0,3.0
7,8,7.905920622535053,0,-1,0.0,6.0
-18,-8,11.155693451283328,1,0,0.0,15.0
9,18,10.362176735443484,0,1,0.0,3.0
-17,-14,5.920404836612754,0,-1,0.0,14.0
-3,6,13.784329045424464,1,-1,0.0,8.0
-14,-13,11.99081499619593,1,0,0.0,15.0
-13,-3,5.458552288618462,1,0,0.0,9.0
